,BldRecNbr_RmNbr,FLOOR,bld_descr50,bldrecnbr,bldsegname,bldsegnbr,dept_descr,dept_grp,dept_grp_descr,dept_grp_vp_area,dept_grp_vp_area_descr,deptid,downloaddate,fiscal_year,geometry,provost_flag,rmnbr,rmrecnbr,rmsqrft,rmstationcnt,rmtyp,rmtyp_descr50,rmtypgrp,rmtypgrp_descr50
18774,10002211S19,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1S19,2035288,137.0,0,020,Circulation Area,98,Non-Assignable Area
18775,10002211S23,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1S23,2035290,232.0,0,020,Circulation Area,98,Non-Assignable Area
18776,10002211S24,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1S24,2035291,96.0,0,020,Circulation Area,98,Non-Assignable Area
18777,10002211S31,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1S31,2035292,314.0,0,020,Circulation Area,98,Non-Assignable Area
18778,10002211S32,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1S32,2035293,32.0,0,020,Circulation Area,98,Non-Assignable Area
18779,10002211S33,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1S33,2035294,29.0,0,020,Circulation Area,98,Non-Assignable Area
18780,10002211S35,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1S35,2035296,44.0,0,020,Circulation Area,98,Non-Assignable Area
18781,10002211S36,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1S36,2035297,46.0,0,020,Circulation Area,98,Non-Assignable Area
18782,10002211S39,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1S39,2035298,247.0,0,020,Circulation Area,98,Non-Assignable Area
18783,10002211S41,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1S41,2035299,47.0,0,020,Circulation Area,98,Non-Assignable Area
18784,10002211S49,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1S49,2035300,222.0,0,020,Circulation Area,98,Non-Assignable Area
18785,10002211V06,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1V06,2035301,46.0,0,030,Mechanical Area,98,Non-Assignable Area
18786,10002211V09,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,Institutional Org,INST_ORG,Institutional Departments,INSTITUTIONAL ORG,Institutional Departments,000500,2016-08-22T04:00:02,2016,,N,1V09,2035302,64.0,0,030,Mechanical Area,98,Non-Assignable Area
